"type","age","N"
"325","FEMGEN",69,6984
"326","FEMGEN",43,5289
"327","FEMGEN",62,8084
"328","FEMGEN",70,6619
"329","FEMGEN",55,7511
"330","FEMGEN",73,6115
"331","FEMGEN",83,3262
"332","FEMGEN",75,5629
"333","FEMGEN",52,6822
"334","FEMGEN",36,6026
"335","FEMGEN",44,5480
"336","FEMGEN",74,5862
"337","FEMGEN",38,5733
"338","FEMGEN",77,5007
"339","FEMGEN",72,6308
"340","FEMGEN",80,4179
"341","FEMGEN",64,7782
"342","FEMGEN",86,2299
"343","FEMGEN",67,7419
"344","FEMGEN",57,7916
"345","FEMGEN",56,7683
"346","FEMGEN",76,5438
"347","FEMGEN",96,232
"348","FEMGEN",82,3565
"349","FEMGEN",93,584
"350","FEMGEN",58,7799
"351","FEMGEN",89,1517
"352","FEMGEN",84,2988
"353","FEMGEN",85,2678
"354","FEMGEN",54,7428
"355","FEMGEN",88,1706
"356","FEMGEN",91,924
"357","FEMGEN",71,6551
"358","FEMGEN",97,157
"359","FEMGEN",66,7428
"360","FEMGEN",92,713
"361","FEMGEN",100,47
"362","FEMGEN",63,7994
"363","FEMGEN",61,8125
"364","FEMGEN",49,6011
"365","FEMGEN",68,7154
"366","FEMGEN",24,6076
"367","FEMGEN",41,5628
"368","FEMGEN",51,6607
"369","FEMGEN",35,6420
"370","FEMGEN",50,6355
"371","FEMGEN",48,5890
"372","FEMGEN",37,5834
"373","FEMGEN",95,324
"374","FEMGEN",33,6870
"375","FEMGEN",46,5639
"376","FEMGEN",39,5494
"377","FEMGEN",31,7369
"378","FEMGEN",34,6698
"379","FEMGEN",45,5585
"380","FEMGEN",47,5779
"381","FEMGEN",42,5500
"382","FEMGEN",40,5617
"383","FEMGEN",25,6699
"384","FEMGEN",28,7747
"385","FEMGEN",32,7089
"386","FEMGEN",27,7610
"387","FEMGEN",30,7769
"388","FEMGEN",29,7749
"389","FEMGEN",18,1244
"390","FEMGEN",26,7161
"391","FEMGEN",23,5069
"392","FEMGEN",19,1849
"393","FEMGEN",17,718
"394","FEMGEN",22,4318
"395","FEMGEN",16,411
"396","FEMGEN",94,432
"397","FEMGEN",21,3352
"398","FEMGEN",10,37
"399","FEMGEN",20,2646
"400","FEMGEN",9,22
"401","FEMGEN",15,208
"402","FEMGEN",0,11
"403","FEMGEN",999,265
"404","FEMGEN",14,99
"405","FEMGEN",12,58
"406","FEMGEN",7,15
"407","FEMGEN",13,71
"408","FEMGEN",98,113
"409","FEMGEN",5,10
"410","FEMGEN",6,10
"411","FEMGEN",8,16
"412","FEMGEN",99,58
"413","FEMGEN",11,45
"414","FEMGEN",1,12
"415","FEMGEN",101,29
"416","FEMGEN",104,4
"417","FEMGEN",103,6
"418","FEMGEN",102,16
"419","FEMGEN",105,2
"420","FEMGEN",4,5
"421","FEMGEN",106,2
"422","FEMGEN",3,5
"423","FEMGEN",2,12
"424","FEMGEN",108,1
"425","FEMGEN",110,1
"426","LYMYLEUK",80,7804
"427","LYMYLEUK",85,5240
"428","LYMYLEUK",86,4768
"429","LYMYLEUK",75,8750
"430","LYMYLEUK",77,8735
"431","LYMYLEUK",78,8486
"432","LYMYLEUK",63,7249
"433","LYMYLEUK",69,8516
"434","LYMYLEUK",47,3457
"435","LYMYLEUK",64,7575
"436","LYMYLEUK",43,2856
"437","LYMYLEUK",73,8947
"438","LYMYLEUK",82,6990
"439","LYMYLEUK",57,5976
"440","LYMYLEUK",81,7479
"441","LYMYLEUK",83,6485
"442","LYMYLEUK",84,5913
"443","LYMYLEUK",42,2853
"444","LYMYLEUK",66,8074
"445","LYMYLEUK",70,8684
"446","LYMYLEUK",51,4539
"447","LYMYLEUK",67,8233
"448","LYMYLEUK",87,4174
"449","LYMYLEUK",68,8356
"450","LYMYLEUK",88,3523
"451","LYMYLEUK",79,8206
"452","LYMYLEUK",71,8861
"453","LYMYLEUK",65,7876
"454","LYMYLEUK",72,8859
"455","LYMYLEUK",76,8791
"456","LYMYLEUK",94,888
"457","LYMYLEUK",92,1439
"458","LYMYLEUK",89,2925
"459","LYMYLEUK",62,7063
"460","LYMYLEUK",91,1859
"461","LYMYLEUK",35,2138
"462","LYMYLEUK",61,6812
"463","LYMYLEUK",60,6614
"464","LYMYLEUK",27,1678
"465","LYMYLEUK",10,572
"466","LYMYLEUK",54,5154
"467","LYMYLEUK",95,560
"468","LYMYLEUK",100,76
"469","LYMYLEUK",74,8940
"470","LYMYLEUK",98,197
"471","LYMYLEUK",56,5522
"472","LYMYLEUK",59,6390
"473","LYMYLEUK",90,2233
"474","LYMYLEUK",45,3204
"475","LYMYLEUK",96,436
"476","LYMYLEUK",105,6
"477","LYMYLEUK",18,1166
"478","LYMYLEUK",48,3698
"479","LYMYLEUK",58,6160
"480","LYMYLEUK",31,1821
"481","LYMYLEUK",55,5465
"482","LYMYLEUK",93,1158
"483","LYMYLEUK",97,269
"484","LYMYLEUK",53,4969
"485","LYMYLEUK",52,4639
"486","LYMYLEUK",50,4254
"487","LYMYLEUK",40,2600
"488","LYMYLEUK",46,3333
"489","LYMYLEUK",19,1245
"490","LYMYLEUK",41,2575
"491","LYMYLEUK",32,1967
"492","LYMYLEUK",0,597
"493","LYMYLEUK",1,882
